RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.133333333,3.355263158,3.579128788,3.571428571,3.611111111,3.698979592,3.666666667,3.655172414,3.647058824,3.555555556,3.417085427,3.375,3.375,3.3,3.1438171,3.135714286,3.285714286,3.408146301,3.375,3.333333333,3.344115803,3.243496622,3.12772549,3.116,3.055555556,3.053592557,3.076923077,3.122201437,3.305084746,3.333333333,3.461538462,3.470588235,3.367859941,3.261488185,3.203997734,3.116774892
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,1.531434272,1.651162791,1.652386781,1.647582697,1.657289878,1.718510193,1.725554643,1.728769497,1.707317073,1.728769497,1.739014121,1.731213873,1.672640382,1.686340641,1.764705882,1.791722112,1.764705882,1.744529864,1.720391372,1.695186354,1.76,1.751592357,1.81160999,1.912534153,1.956327986,1.942190764,1.947439353,1.948051948,1.942692992,1.95050157,1.977577647,1.979130435,1.949438202,1.904545455,1.949593496,1.979775281,2.014130435,2.014132664,2.075902618,2.023809524,1.995454545,2.034168565,2.048732477,2.055555556,1.988636364,2.090652286,2.034387895,1.996923077,1.998364098,2.082608696,2.130693582,2.1558753,2.189404926,2.216666667,2.22826087,2.206194829,2.214857357,2.24137931,2.294243124,2.321788456,2.304924242,2.331775701,2.34375,2.386547514,2.411227855,2.422307341,2.435897436,2.447552448,2.478831929,2.458333333,2.5625,2.564285714,2.583333333,2.59731241,2.579166667,2.635782748,2.59375,2.604564991,2.67009178,2.561327561,2.539393939,2.497656982,2.580732063,2.669970268,2.785714286,2.742894911,2.75,2.805151025,2.85,2.836004932,2.85,2.837349398,2.818181818,2.826855124,2.8125,2.857042677,2.870212766,2.956896552,2.997502082,3.026634383,3.033651304,3.107407407,3.076687117,3.119008028,3.139113094,3.144736842,3.097708643,3.092090242,3.111495246,3.157635893,3.14530777,3.180110906,3.177265126,3.201984082,3.22295082,3.158333333,3.142857143
Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167817202,1.214088639,1.208426307,1.246648794,1.283136847,1.230006609,1.359459459,1.355590681,1.487256001,1.481958763,1.4665562,1.324146982,1.476351351,1.319204152,1.245901639,1.2934519,1.480477223,1.457427536,1.457142857,1.410946067,1.47615494,1.479942529,1.416227,1.434075342,1.42518161,1.442502504,1.443430657,1.480263158,1.48216767,1.476237288,1.470588235,1.488095238,1.506342495,1.491666667,1.675579323,1.658910806,1.663378545,1.587134503,1.600277866,1.595521375,1.588447653,1.565182853,1.546353523,1.491518753,1.524390244,1.465700483,1.399737188,1.407284768,1.468072037,1.488212181,1.484575734,1.485498108,1.505343711,1.483333333,1.472508591,1.49321267,1.492753623,1.535757576,1.545698925,1.550741163,1.544764603,1.61013246,1.606650869,1.609105181,1.579893617,1.569863014,1.564805058,1.577639752,1.55625,1.540073983,1.545454545,1.530264307,1.514767932,1.512723502,1.524559778,1.517456389,1.512455516,1.523996821,1.522419187,1.520360574,1.506373117,1.500658762,1.481375268
Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,1.392857143,1.481127451,1.421590909,1.500317199,1.405555556,1.405921053,1.644982993,1.699029126,1.731244847,1.764705882,1.582916667,1.640625,1.725,1.810606061,1.844142206,1.8671875,1.880111421,1.9,1.902404906,1.870111664,1.86025641,1.855916921,1.85225499,1.7875,1.749379653,1.713062099,1.8,1.868347339,1.875,1.881355932,1.841628959,1.816176471,1.783783784,1.829482948,1.816176471,2.008765522,1.906331239,2,2.071428571,2.123186211,2.133219568,2.125,2.14050494,2.0625,2.0625,2.096879794,2.02567241,1.945266272,1.981129598,2,2.116501387,2.2,2.31316726,2.073317308,2.28052116,2.228498912,2.008403361,1.884850333,2.025555556,2.283542039,2.03241992,2.044357977,2.0625,2.045454545,2.029810298,1.995101918,2.197860963,2.269153226,2.372375691,2.288256228,2.2,2.343915344,2.071428571,2.005756579,2.040951123,2,2.0080591,2,1.981129598,1.975926597,2,2,1.963875,1.964813494,1.963746224,1.95,1.992857143,2,1.988888889,2,2.076923077,2.128874388,2.164287734,2.1625,2.14375,2.164673913,2.166666667,2.166666667,2.163833076,2.186417618,2.225,2.271961384,2.278481013,2.224341508,2.178904579,2.166666667,2.2175,2.317974359,2.344444444,2.268518519,2.24375,2.264705882,2.25,2.25,2.263513514,2.206963901,2.223433243
San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,0.94663215,0.916880655,0.943396226,0.897435897,0.870068611,0.853351955,0.82769174,0.8,0.80201005,0.854272506,0.850588865,0.876416481,0.892857143,0.914330058,0.953294949,0.927419355,0.945263158,0.964285714,0.973992198,0.952896868,0.945263158,0.941730934,0.945,0.977443609,0.958333333,0.948798328,0.956319703,0.936022253,0.937880633,0.976923077,1.031372549,1.034286103,0.993297394,0.981996727,0.992807609,1,1.021126761,1.02732596,1.015503876,1.040358744,1.061656468,1.066002465,1.065030675,1.071428571,1.0639413,1.106012658,1.086956522,1.073446328,1.078431373,1.083333333,1.091503183,1.104166667,1.092220164,1.104540655,1.089414818,1.087694266,1.093935791,1.106508876,1.124145786,1.131578947,1.134185304,1.130035401,1.163192562,1.161261261,1.16503444,1.161619738,1.196610169,1.184615385,1.168175603,1.197443609,1.188148148,1.210585921,1.223487919,1.155495979,1.2,1.139780681,1.185527584,1.181760425,1.185950413,1.202209644,1.24668435,1.239855726,1.226502758,1.21375,1.222294466,1.229166667,1.228786156,1.231761238,1.228571429,1.287185355,1.277272727,1.272377199,1.278250304,1.305348505,1.296791183,1.316725979,1.297574293,1.294879341,1.278135048,1.277938053,1.280821918,1.324795209,1.322945345,1.325039031,1.340278356,1.354771784,1.355109622,1.338998211,1.333333333,1.333846075,1.32980317
Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,1.648351648,1.708477509,1.867783531,1.727346939,1.707897291,1.707317073,1.72065051,1.549200348,1.622857143,1.580555556,1.594151139,1.502403846,1.548809524,1.5,1.470588235,1.422920575,1.459330144,1.382113821,1.388791157,1.501201923,1.515681876,1.525019896,1.565022422,1.593283582,1.666666667,1.691741619,1.764705882,1.700228908,1.727272727,1.679104478,1.537782922,1.525510204,1.5,1.488362929,1.469669118,1.527777778,1.645723599,1.563682432,1.596545338,1.619775739,1.508368925,1.477777778,1.472222222,1.6,1.572330097,1.578947368,1.538461538,1.508003619,1.499514563,1.486393829,1.517964838,1.65,1.666666667,1.623882948,1.557150148,1.517241379,1.5,1.476190476,1.464285714,1.45,1.5,1.595,1.666666667,1.660696041,1.666666667,1.646335967,1.642020865,1.595,1.587947883,1.657458564,1.620925032,1.666666667,1.70224833,1.740076643,1.8,1.896853882,1.819923372,1.846153846,1.857142857,1.819908536,1.85,1.80952381,1.823983004,1.777777778,1.80437607,1.941666667,1.927312775,1.9375,1.901225059,1.906955336,1.962586133,1.921702816,1.894736842,1.86,1.852802358,1.864210526,1.915708812,2.062330623,2.066666667,2.117647059,2.083333333,2.083333333,2.069614299,2.044161038,2.030058651,2.077272727,2.055555556,2.083333333,2.125,2.163934426,2.163934426,2.12962963,2.136363636,2.09375,2.071428571,2,2.008480016,1.995833333
Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,0.857758621,0.842696629,0.868557269,0.877441454,0.850584165,0.82330589,0.875275032,0.897059964,0.897261264,0.911180795,0.875,0.855513308,0.84691708,0.874264845,0.892857143,0.888275939,0.869061414,0.871428571,0.85,0.832071429,0.823220931,0.817701453,0.809220772,0.832052689,0.851596204,0.85,0.8492569,0.854194472,0.858024691,0.864759428,0.8640553,0.864673485,0.859897395,0.856410256,0.862957254,0.869565217,0.86977887,0.872653896,0.87109375,0.861161525,0.885714286,0.884754991,0.888571429,0.881477987,0.872467772,0.876548249,0.877914952,0.872727273,0.866050808,0.886719766,0.90540079,0.916149068,0.92,0.924528302,0.913192433,0.917438272,0.918347189,0.93537415,0.94456601,0.961133374,0.969785575,0.989672978,0.998920086,1,1,1.015544041,1.026184966,1.030103481,1.047742811,1.09564815,1.093089139,1.101248266,1.13739546,1.12371134,1.095245594,1.150306748,1.09922179,1.103167506,1.090909091,1.090328401,1.10242571,1.056231003,1.129474486,1.194926569,1.269147759,1.310947562,1.267184392,1.250208507,1.24137931,1.226551227,1.214285714,1.207617278,1.1875,1.197309669,1.203830019,1.219362745,1.235173824,1.264822134,1.241987179,1.260923845,1.269434373,1.285714286,1.269211596,1.299015738,1.30972389,1.298701299,1.304753029,1.331404959,1.338931298,1.391509059,1.4375,1.461295419,1.418337455,1.42122449,1.439759036,1.435042477,1.453461025
Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,0.801253357,0.808352,0.842959925,0.852137507,0.920210538,0.829047711,0.809484873,0.748529412,0.757352941,0.747034209,0.747484031,0.77028424,0.773134328,0.76146789,0.794392523,0.78125,0.776210201,0.783828383,0.789671065,0.79248366,0.786199095,0.765957447,0.78231076,0.771963491,0.790540541,0.788690476,0.768892794,0.772727273,0.779614325,0.779816514,0.762351913,0.769230769,0.773195876,0.777202073,0.777489925,0.773710483,0.776367188,0.786191406,0.793507665,0.798611111,0.777777778,0.78125,0.772327342,0.762080074,0.760356581,0.762452107,0.756810453,0.751262626,0.75,0.74942352,0.754895768,0.766871166,0.765765766,0.781928758,0.798838054,0.799038753,0.793460925,0.794392523,0.797709176,0.802875076,0.810110175,0.825019873,0.8382643,0.85,0.860538194,0.879828326,0.868508864,0.861214374,0.865800866,0.911330049,0.972321429,0.95,0.947822142,0.970017637,0.967830861,0.961538462,0.964102564,0.880765456,0.894187779,0.918422804,0.917743032,0.89206439,0.897755611,0.930851064,0.935058445,0.960264901,0.979374611,1.020512821,1.039883268,1.059701493,1.062862669,1.057142857,1.057142857,1.046839369,1.070916332,1.082251082,1.109375,1.140871177,1.16927593,1.178199052,1.177533386,1.19375,1.20125,1.198913522,1.197381605,1.194546945,1.202263083,1.206940063,1.214026441,1.229411765,1.25,1.257553957,1.268181818,1.26641651,1.256410256,1.25,1.251845775,1.255127153
San Diego,CA,San Diego-Carlsbad,San Diego County,9,2.511072679,2.333661021,2.349356143,2.30612437,2.054231717,1.931938986,1.843793128,1.990456989,2.015012526,1.987286422,2.075,1.762218045,1.7529274,1.75,1.717792368,1.698946136,1.702786378,1.703964194,1.757369615,1.754507797,1.736257886,1.707303184,1.706484642,1.741159427,1.74375,1.771031491,1.718983558,1.714285714,1.753986333,1.755926251,1.741769547,1.754285714,1.75257732,1.763485477,1.76717601,1.765282772,1.77852349,1.799544419,1.8,1.79389313,1.795555556,1.824175824,1.833333333,1.904688645,1.875,1.825,1.940133038,1.940066519,1.923076923,1.923076923,1.965408805,1.999327957,2.021276596,2.03036417,2.034023669,2.017200938,2.077254683,2.1037182,2.081436815,2.100900937,2.122641509,2.099283642,2.138554217,2.141509434,2.181468553,2.198422798,2.241330038,2.239557976,2.234589041,2.277777778,2.287822878,2.277777778,2.278571429,2.274951076,2.264760148,2.243845289,2.250957854,2.331081081,2.267224685,2.336448598,2.263468711,2.248446251,2.238727426,2.303846154,2.354709419,2.4,2.446506091,2.485795455,2.5,2.5,2.484957882,2.466666667,2.452563179,2.41594183,2.416666667,2.454545455,2.481481481,2.526978417,2.63699422,2.658333333,2.67721519,2.666785291,2.67357513,2.667000676,2.699533507,2.727272727,2.711267606,2.722665309,2.70531401,2.693236715,2.697419859,2.728,2.779232112,2.817745803,2.811528495,2.792423047,2.761538462,2.738693467
Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,1.238095238,1.223153255,1.301618123,1.235677083,1.11328125,1.106864275,1.084781737,1.080254272,1.10330993,1.079003911,1.026272578,1.0380188,1.057427356,1.068232662,1.166406289,1.105990783,1.058323208,1.138692524,1.095419847,1.216814159,1.268656716,1.264746228,1.22488976,1.25,1.24609375,1.263157895,1.255639098,1.292346299,1.272146848,1.295134443,1.290035587,1.293787762,1.33022556,1.332311116,1.299124901,1.347058824,1.338289963,1.355555556,1.360294118,1.389705882,1.387344728,1.376178512,1.418350991,1.42226067,1.420640105,1.391927083,1.367912088,1.381299662,1.410839309,1.452006981,1.377919321,1.289844623,1.38220166,1.379769299,1.43450746,1.428837953,1.44092213,1.462446041,1.455905512,1.495666833,1.45665773,1.479608044,1.483722956,1.498973306,1.522856297,1.552517808,1.526970155,1.542118725,1.557692308,1.555664275,1.524134437,1.632194245,1.586233786,1.520443009,1.500082124,1.605739833,1.595422471,1.625199362,1.629767442,1.648195876,1.666666667,1.669628907,1.705069124,1.67027027,1.659875075,1.678916556,1.660943864,1.666666667,1.726666667,1.690147236,1.683333333,1.728492502,1.74173028,1.75228559,1.761682243,1.745085995,1.757846505,1.76563754,1.73363951,1.740331492,1.778425656,1.769130999,1.776948406,1.77388081,1.756868132,1.732091764,1.700837895,1.696169089,1.693944354,1.677282378
Austin,TX,Austin-Round Rock,Travis County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.140711364,1.140552995,1.13458344,1.132208158,1.14924182,1.157894737,1.169230769,1.166377816,1.185064935,1.205415805,1.224341672,1.265060241,1.278205128,1.29973975,1.253501401,1.279863481,1.3,1.395887648,1.472310995,1.451456311,1.427142857,1.494023904,1.452378669,1.455479474,1.451868688,1.485507246,1.416666667,1.44937833,1.47217806,1.451154529,1.5,1.463770061,1.485047411,1.492857143,1.5,1.49604601,1.518388229,1.495359629,1.509590162,1.506887052,1.549971297,1.585402558,1.588680541,1.576026637,1.604477612,1.538461538,1.532514451,1.515970383,1.492264416,1.451771654,1.452751559,1.490250696,1.521212121,1.543942993,1.55104712,1.576923077,1.572006749,1.544368601,1.541012216,1.521212121,1.516907292,1.522811344,1.534852575,1.530566446,1.54296875,1.556802244,1.581885856,1.593380577,1.59811828,1.592320261,1.575249991,1.590769231,1.604938272,1.618618619,1.623655914,1.67535854,1.716188525,1.651260504,1.714060032,1.744222222,1.759927798,1.769255696,1.764705882,1.736822034,1.753956835,1.756311745
San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.360681115,2.11345527,2.08204553,2.079473684,2.116710963,2.142657343,2.132633588,2.143937683,2.107250755,2.279112754,2.24864073,2.217391304,2.157258065,2.168831169,2.356307852,2.362740782,2.327227311,2.329207921,2.4265625,2.466529351,2.50483559,2.587996551,2.533105023,2.653357125,2.724306688,2.728110048,2.714429869,2.752808989,2.764187867,2.795730495,2.826887661,2.88272195,2.886857143,2.963898917,3.023465704,3.075124178,3.04735523,3.03902439,3.021136727,3.032653061,3.054579315,3.010670732,2.975260417,2.915137198,2.894385027,3.054857143,2.849264706,2.898758357,2.729885057,2.747956403,2.717336683,2.831560732,2.9,2.905493112,2.916666667,2.92854144,2.943126488,2.917475728,2.875584659,2.851648352,2.881318538,2.87037037,2.888058765,2.892602023,2.930307113,2.967588933,2.974753019,3.054807692,3.066666667,3.073792828,3.076490439,3.011363636,3.01777362,3,3.033730159,3.025325659,3.060555556,3.137834037,3.148099607,3.190709046,3.239564428,3.260628466,3.210973337,3.17772764,3.142790512,3.14354067
Jacksonville,FL,Jacksonville,Duval County,13,0.804403048,0.801886792,0.831015299,0.815437511,0.8,0.78358209,0.775510204,0.766056423,0.75,0.74871134,0.772222222,0.78456236,0.785714286,0.792964245,0.825041459,0.835654596,0.842857672,0.85058592,0.834980237,0.833333333,0.850990525,0.884259259,0.892857143,0.868039664,0.854821235,0.871198157,0.882242991,0.897959184,0.872246696,0.867956558,0.842824601,0.825,0.825641297,0.846153846,0.893333333,0.918,0.920471281,0.929142857,0.934278351,0.938511327,0.946745562,0.956940813,0.966127791,0.97,0.971666667,0.978618421,0.980746089,0.982312066,0.986590038,0.991818182,0.996168582,0.997150997,1.002430134,1.002430134,1,1.006441224,1.014925373,1.02281668,1.023294509,1.02281668,1.008333333,1.007662835,1.032402235,1.032,1.035714286,0.951896392,0.911377709,0.914736428,0.919889503,0.945497761,0.941085553,0.946541803,0.947361604,0.964,0.958333333,0.970829809,0.97244636,0.962199313,0.973520249,0.998032362,0.962199313,0.948330357,0.955758561,0.966356478,0.975212003,1,1.011854361,1.033926748,1.035131744,1.036585366,1.026600166,1.04519774,1.057777778,1.07195642,1.098901099,1.092962398,1.100086281,1.117511521,1.133200795,1.223759006,1.235465116,1.227069199,1.220858896,1.214953271,1.217449664,1.258096439,1.251078516,1.220845955,1.216955333,1.214327866,1.224345339,1.225490196,1.224756586,1.239861346,1.224365487,1.196734059,1.212630666,1.266666667
Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,14,,,,,,,,0.709729018,0.714470451,0.730769231,0.737179487,0.677419355,0.677995392,0.683684861,0.661764706,0.676822568,0.651121606,0.64077224,0.625786164,0.634615385,0.663369963,0.665859564,0.66940335,0.694444444,0.733173077,0.745,0.71,0.717948718,0.7147,0.703125,0.71656051,0.726943522,0.742857143,0.729591837,0.716483516,0.720394737,0.748322148,0.756374749,0.753846154,0.736464968,0.723053451,0.7,0.714285714,0.729183019,0.733007697,0.739795918,0.739184849,0.702325581,0.710577547,0.713429257,0.727272727,0.74872416,0.748071961,0.736434109,0.75,0.7484375,0.741056218,0.747573348,0.75,0.765227313,0.775,0.785401003,0.78125,0.78125,0.78125,0.774166667,0.774896694,0.822033613,0.828148148,0.891196728,0.894724026,0.884457065,0.891813585,0.903567182,0.935483871,0.951876805,0.944444444,0.914696814,0.91503268,0.959768786,0.910447761,0.898371985,0.91827957,0.928074246,0.910652921,0.950292398,0.966009052,0.926757813,0.956707317,0.972461225,0.939705882,0.925263158,0.92114094,0.948512586,0.932741117,0.946028229,0.987804878,1,1.011688312,0.983333333,0.988484848,0.983157895,0.989693396,1.031144781,1.040953909,1.021103896,1.035276074,1.030384615,1.075870647,1.083969466,1.095940959,1.111005793,1.083333333,1.049180328,1.032834096,1.021823597,1.013480392,1.028759728
San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,15,,,,,,,,2.578947368,2.692307692,2.811976043,2.75889993,2.771966527,2.818181818,2.8125,3.001823154,2.98013245,3.066597367,3.137254902,3.137516689,3.266888151,3.250088952,3.253424658,3.316934609,3.433719607,3.434288824,3.4105822,3.495265006,3.549428148,3.599242424,3.65,3.555555556,3.595,3.619642857,3.614292145,3.670980016,3.786666667,3.714068276,3.788727178,3.907203907,3.97606383,4.012590302,4.065899005,4.045211397,4.073794668,4.050283861,4.012914735,4.028400598,4.071428571,4.027777778,4.02584493,4.128333333,4.210526316,4.195011338,4.240186511,4.333333333,4.316261025,4.355323729,4.381499495,4.50563204,4.54787234,4.636548913,4.502307972,4.59,4.636363636,4.708222168,4.675057977,4.724,4.702659146,4.639364303,4.604829857,4.648048072,4.795683453,4.791066282,4.785130719,4.791066282,4.791066282,4.746207093,4.624939162,4.605773857,4.505068272,4.415789474,4.464749295,4.385026738,4.5,4.577889021,4.509609592,4.666666667,4.713917526,4.709405661,4.697380307,4.714866434,4.60593654,4.586979382,4.72311828,4.648649013,4.691860465,4.6875,4.75,4.75,4.835243553,4.809546757,4.833839919,4.910856134,4.92805383,4.896572626,4.900689655,4.894179894,4.914529915,5.004490096,5.065393245,5.076952156,5.168580513,5.21978022,5.254880694,5.275970891,5.3,5.201550388,5.165990395
Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,16,,,,,,,,,1.148802823,1.095423564,1.111111111,0.952991453,0.960576923,0.968280756,0.884615385,0.869737887,0.8994003,0.896771232,0.860243056,0.85766861,0.845286885,0.916666667,0.94348659,0.974770642,0.945674044,0.935672515,0.887700535,0.894877334,0.903465347,0.918971745,0.934782609,0.988570309,0.975433526,0.984632254,0.945723684,0.909901873,0.939044481,0.965780616,0.979415948,0.992714026,0.964539439,0.992716236,0.972782258,1.078787879,1.032977692,1.00931677,1.029414642,1.045333333,1.036753915,1,1.026077098,1.118708343,1.166666667,1.129237183,1.18021166,1.131949853,1.126245134,1.109570042,1.111908178,1.124780316,1.117029186,1.168280872,1.189022939,1.19047619,1.206215116,1.1992,1.219101124,1.230687831,1.201825558,1.24563591,1.215323646,1.241663673,1.376936317,1.548974943,1.376936317,1.433121019,1.423076923,1.517293233,1.363095238,1.474820144,1.489932886,1.344977976,1.312260536,1.445959104,1.362050797,1.507853248,1.514155983,1.422844564,1.416853095,1.385032335,1.39665229,1.404706478,1.408796372,1.489104116,1.455696203,1.455850169,1.5,1.492025105,1.525653437,1.556261343,1.542649728,1.5625,1.545710267,1.573333333,1.566197183,1.60592722,1.595103046,1.59,1.650232558,1.595744681,1.591928251,1.621672234,1.598465473,1.643512451,1.641231593,1.645971846,1.631382316,1.62745098
Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,17,,,,,,,,,,,,,,,,,,,,0.731015328,0.836913286,0.860178971,0.85629336,0.882190804,0.892857143,0.902210012,0.88556701,0.888172043,0.895,0.891773321,0.902297583,0.886571087,0.894178399,0.888146446,0.895418327,0.895,0.89733465,0.915488213,0.8998999,0.920920921,0.897988506,0.894736842,0.896800826,0.885769603,0.877862595,0.839848039,0.957207207,0.906735751,0.900681636,0.899008886,0.971283784,0.99378882,0.982,0.921375921,0.911517925,0.892857143,0.912631579,0.92733422,0.95,0.972985348,1.030616669,1.0328,1.028999065,0.992857143,1.023448276,1.059673481,1.102941176,1.084051724,1.140752864,1.142081448,1.147155757,1.167853951,1.13430127,1.217334495,1.197706632,1.25,1.236928105,1.234352578,1.24420191,1.254662431,1.179142522,1.201589103,1.166343042,1.25,1.264705882,1.339401821,1.45329397,1.431342752,1.488695652,1.464907868,1.487119503,1.449748744,1.25,1.277926322,1.305501536,1.32137031,1.373361836,1.459407216,1.479052823,1.475675676,1.462647444,1.481481481,1.509383378,1.5,1.56612529,1.563554556,1.587131367,1.583689459,1.606280193,1.664639444,1.650224215,1.633295838,1.574967502,1.580803981,1.543333333,1.509591326,1.501805054,1.466666667
Tucson,AZ,Tucson,Pima County,18,1.048462255,0.928211444,0.917008197,0.869693996,0.899304762,0.916475832,0.84519347,0.846993125,0.819423077,0.89010989,0.857749267,0.821782436,0.817641229,0.808726297,0.814814815,0.831512759,0.839792821,0.8125,0.817207953,0.823066566,0.797325103,0.797413793,0.800641026,0.825,0.848047538,0.84666606,0.850330813,0.845771144,0.845920507,0.840925018,0.829774929,0.827380952,0.825,0.824836601,0.820433437,0.830790569,0.827989171,0.8265625,0.81888092,0.82,0.8,0.78125,0.785714286,0.809041858,0.80638626,0.8125,0.829015544,0.8,0.796568627,0.815820145,0.830078125,0.85,0.8469163,0.832570875,0.84375,0.82815735,0.818359202,0.801850703,0.800601202,0.810810811,0.821167883,0.827263267,0.840368381,0.852489069,0.853660264,0.843661972,0.842105263,0.853221957,0.846756328,0.890014472,0.85625,0.874085366,0.884146341,0.888888889,0.913461538,0.871559633,0.86875,0.887619048,0.892857143,0.854204002,0.881233768,0.875,0.874830074,0.876745664,0.901992466,0.954142012,0.983551921,0.992138365,0.984852643,0.961893436,0.974750818,0.983509058,0.961649089,0.957831325,0.96,0.989531691,0.9975,1.029252438,1.015761821,1.030927835,1.041666667,1.057579318,1.054384018,1.046581173,1.060119943,1.081441327,1.099652375,1.115942029,1.125401929,1.130024233,1.129971751,1.1195,1.124722222,1.140987654,1.106169971,1.086318636,1.101851852,1.126444653
Columbus,OH,Columbus,Franklin County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.954861111,0.912146677,0.845845802,0.838461538,0.81032666,0.872,0.866898148,0.887755102,0.9,0.9,0.8,0.791226216,0.800990099,0.809119011,0.8,0.832977512,0.83,0.83,0.843535959,0.855569155,0.884665376,0.869755245,0.864488415,0.851345767,0.838392857,0.872641509,0.861538462,0.875139353,0.904255319,0.9125,0.944444444,0.94833667,0.974025974,0.962962963,0.989795918,0.967479675,0.976507439,0.950348339,0.959271168,0.970707071,0.959041394,0.976744186,0.996248813,0.998883929,1.016746411,1.022592152,1.020408163,1.02610261,1.05299064,1.014274981,1.035714286,1.001149425,1.061569017,1.066666667,1.08680248,1.078671329,1.082004556,1.085714286,1.082298137,1.066508689,1.08974359,1.099881094,1.090047393,1.072916667,1.085106399,1.095,1.11015625,1.09545346,1.108264463,1.115131579,1.112120727,1.138310894,1.143505904,1.13960114,1.115384615,1.083333333,1.1,1.108119694,1.104712042,1.104712042,1.100171233,1.107819905,1.09375,1.129559937,1.135391924,1.138651472,1.136842105
Louisville,KY,Louisville/Jefferson County,Jefferson County,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931932773,1,0.928571429,0.828991597,0.80468566,0.821428571,0.857738095,0.881176471,0.89301744,0.905047803,0.945754709,0.877192982,0.884929078,0.926666667,0.928381963,0.897435897,0.874905732,0.9375,0.916666667,0.972468043,0.983531565,0.979349145,0.996153846,0.987033113,1.012396694,1.033730159,0.983036633,1.027888972,1.018043104,0.982572668,1,1.04518315,1.02,1.04,1,1.05,1.074936249,1.085057471,1.082631982,1.05952381,1.010854817,1.030989273,1.016129032,1.047486034,1.153579677,1.135714286,1.198333333,1.125,1.111731844,1.094730643,1.101591187,1.082089552,1.071428571,1.03406326,1.038798498,1.05,1.078638498,1.065868263,1.114285714,1.115384615,1.12,1.129664179,1.080838323,1.089142857,1.11154486,1.112
